,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7562,PRESERVED_SPECIMEN,Rudgea laevis,905018,GBIF,Herrera Chacón 5850,Manuel Vargas,,9.29,-83.25,"R.I. Ujarrás; Cordillera de Talamanca. Ujarrás. Margen izquierda de Quebrada Dorora, camino a Río Lori.",1993.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
8912,PRESERVED_SPECIMEN,Rudgea laevis,533645,GBIF,Obando Arguedas 140,Manuel Vargas,,10.25,-84.8,Reserva Biológica Monteverde,1990.0,1,1,1,,WGS84,2020,Norman Obando
9233,PRESERVED_SPECIMEN,Rudgea laevis,518045,GBIF,Haber 1070,Manuel Vargas,,10.309167,-84.818611,"Monteverde, lower community",1984.0,1,1,1,,WGS84,2020,William A. Haber
9400,PRESERVED_SPECIMEN,Rudgea laevis,514076,GBIF,Haber 8271,Manuel Vargas,,10.3,-84.8,"Monteverde Bajos de La Lindora, Río Guacimal",1988.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
9850,PRESERVED_SPECIMEN,Rudgea laevis,3584958,GBIF,Jiménez Madrigal 1970,Manuel Vargas,,9.275,-83.24444,R.I. Ujarrás. Cordillera de Talamanca. Reserva Biológica Dúrika.,1995.0,1,1,1,,WGS84,2020,Quírico Jiménez
11798,PRESERVED_SPECIMEN,Rudgea laevis,2374084,GBIF,Haber 452,Manuel Vargas,,10.30833,-84.81527,"Monteverde, in forest",1981.0,1,1,1,,WGS84,2020,William A. Haber
15516,PRESERVED_SPECIMEN,Rudgea laevis,1066677,GBIF,Clark 1546,Manuel Vargas,,-2.166667,-80.133333,"Bosque Protector Cerro Blanco. Carretera Guayaquil - Salinas, km 15. Tropical Dry Forest. Mostly limestone soils. Secondary forest with remnant canopy trees.",1995.0,1,1,1,,WGS84,2020,"John L. Clark|Morgan, Mike|Tamara Núñez"
16069,PRESERVED_SPECIMEN,Rudgea laevis,100502788,GBIF,Rodríguez González 11866,Manuel Vargas,,9.106367,-83.08747,"P.N. La Amistad. Cuenca Térraba-Sierpe. Potrero Grande, La Lucha. PILA. Cabeceras del Río Guineal.",2008.0,1,1,1,,WGS84,2020,Alexánder Rodríguez|Daniel Solano|Daniel Santamaría|N. Veas Ayala|C. Godínez|William Gamboa E.|Á. Solís|Marcos Moraga|Eduardo Boza
16071,PRESERVED_SPECIMEN,Rudgea laevis,100502652,GBIF,Haber 12413,Manuel Vargas,,10.3,-84.81667,"No protegida. Cuencas del Lagarto y Guacimal. Monteverde, Bajo del Tigre Reserve, 1 km W of center.",1998.0,1,1,1,,WGS84,2020,William A. Haber
16072,PRESERVED_SPECIMEN,Rudgea laevis,100502608,GBIF,Haber 11925,Manuel Vargas,,10.3107,-84.8085,No protegida. Cuencas del Lagarto y Guacimal. Monteverde. Along canyon of Quebrada Maquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2020,William A. Haber|Willow Zuchowski
17772,PRESERVED_SPECIMEN,Rudgea laevis,4230759,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Valley of Rio Guacimal and steep slope below Monteverde. Pacific slope, premontane moist forest.",1998.0,1,1,1,,WGS84,2020,William Haber
17773,PRESERVED_SPECIMEN,Rudgea laevis,4230756,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Valley of Rio Guacimal and steep slope below Monteverde. Pacific slope, premontane moist forest.",1998.0,1,1,1,,WGS84,2020,William Haber
17774,PRESERVED_SPECIMEN,Rudgea laevis,4230758,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Valley of Rio Guacimal and steep slope below Monteverde. Pacific slope, premontane moist forest.",1998.0,1,1,1,,WGS84,2020,William Haber
17775,PRESERVED_SPECIMEN,Rudgea laevis,4230757,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Valley of Rio Guacimal and steep slope below Monteverde. Pacific slope, premontane moist forest.",1998.0,1,1,1,,WGS84,2020,William Haber
17776,PRESERVED_SPECIMEN,Rudgea laevis,4230755,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,"Monteverde, Valley of Rio Guacimal and steep slope below Monteverde. Pacific slope, premontane moist forest.",1998.0,1,1,1,,WGS84,2020,William Haber
18045,PRESERVED_SPECIMEN,Rudgea laevis,4153688,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2020,William Haber; Willow Zuchowski
18046,PRESERVED_SPECIMEN,Rudgea laevis,4153689,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2020,William Haber; Willow Zuchowski
18048,PRESERVED_SPECIMEN,Rudgea laevis,4153683,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2020,William Haber; Willow Zuchowski
18053,PRESERVED_SPECIMEN,Rudgea laevis,4153684,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2020,William Haber; Willow Zuchowski
18055,PRESERVED_SPECIMEN,Rudgea laevis,4153685,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2020,William Haber; Willow Zuchowski
18056,PRESERVED_SPECIMEN,Rudgea laevis,4153687,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2020,William Haber; Willow Zuchowski
18058,PRESERVED_SPECIMEN,Rudgea laevis,4153686,GBIF,,Manuel Vargas,,10.3107,-84.8085,Monteverde.  Primary forest along canyon of Quebrada Máquina above Hotel Belmar.,1995.0,1,1,1,,WGS84,2020,William Haber; Willow Zuchowski
18163,PRESERVED_SPECIMEN,Rudgea laevis,4141972,GBIF,,Manuel Vargas,,9.136330000000001,-83.05619200000001,"Potrero Grande, Tres Colinas. 5 km de Tres Colinas desviándose del sendero a Kámuk hacia el río Singri.",2008.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría ; Hugo Solano Arias
18164,PRESERVED_SPECIMEN,Rudgea laevis,4141973,GBIF,,Manuel Vargas,,9.136330000000001,-83.05619200000001,"Potrero Grande, Tres Colinas. 5 km de Tres Colinas desviándose del sendero a Kámuk hacia el río Singri.",2008.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría ; Hugo Solano Arias
18165,PRESERVED_SPECIMEN,Rudgea laevis,4141974,GBIF,,Manuel Vargas,,9.136330000000001,-83.05619200000001,"Potrero Grande, Tres Colinas. 5 km de Tres Colinas desviándose del sendero a Kámuk hacia el río Singri.",2008.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría ; Hugo Solano Arias
18175,PRESERVED_SPECIMEN,Rudgea laevis,4141500,GBIF,,Manuel Vargas,,9.141286000000001,-83.069808,Potrero Grande Tres Colinas. PILA.,2008.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría
18181,PRESERVED_SPECIMEN,Rudgea laevis,4141499,GBIF,,Manuel Vargas,,9.141286000000001,-83.069808,Potrero Grande Tres Colinas. PILA.,2008.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría
18182,PRESERVED_SPECIMEN,Rudgea laevis,4141502,GBIF,,Manuel Vargas,,9.141286000000001,-83.069808,Potrero Grande Tres Colinas. PILA.,2008.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría
18185,PRESERVED_SPECIMEN,Rudgea laevis,4141501,GBIF,,Manuel Vargas,,9.141286000000001,-83.069808,Potrero Grande Tres Colinas. PILA.,2008.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría
18206,PRESERVED_SPECIMEN,Rudgea laevis,4141070,GBIF,,Manuel Vargas,,9.117811,-83.089512,"Potrero Grande, La Lucha. PILA. Punto 4.",2008.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría ; William Gamboa ; Audilio Rivera Cascante
18208,PRESERVED_SPECIMEN,Rudgea laevis,4141069,GBIF,,Manuel Vargas,,9.117811,-83.089512,"Potrero Grande, La Lucha. PILA. Punto 4.",2008.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría ; William Gamboa ; Audilio Rivera Cascante
18209,PRESERVED_SPECIMEN,Rudgea laevis,4141071,GBIF,,Manuel Vargas,,9.117811,-83.089512,"Potrero Grande, La Lucha. PILA. Punto 4.",2008.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría ; William Gamboa ; Audilio Rivera Cascante
18275,PRESERVED_SPECIMEN,Rudgea laevis,4134370,GBIF,,Manuel Vargas,,9.106367,-83.087468,"Buenos Aires, Potrero Grande, La Lucha. PILA. Cabeceras del Río Guineal.",2008.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; Daniel Santamaría ; Nestor Veas Ayala ; Carlos Godínez ; William Gamboa ; Angel Solis ; Marcos Moraga ; Eduardo Boza
18276,PRESERVED_SPECIMEN,Rudgea laevis,4134374,GBIF,,Manuel Vargas,,9.106367,-83.087468,"Buenos Aires, Potrero Grande, La Lucha. PILA. Cabeceras del Río Guineal.",2008.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; Daniel Santamaría ; Nestor Veas Ayala ; Carlos Godínez ; William Gamboa ; Angel Solis ; Marcos Moraga ; Eduardo Boza
18277,PRESERVED_SPECIMEN,Rudgea laevis,4134373,GBIF,,Manuel Vargas,,9.106367,-83.087468,"Buenos Aires, Potrero Grande, La Lucha. PILA. Cabeceras del Río Guineal.",2008.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; Daniel Santamaría ; Nestor Veas Ayala ; Carlos Godínez ; William Gamboa ; Angel Solis ; Marcos Moraga ; Eduardo Boza
18278,PRESERVED_SPECIMEN,Rudgea laevis,4134371,GBIF,,Manuel Vargas,,9.106367,-83.087468,"Buenos Aires, Potrero Grande, La Lucha. PILA. Cabeceras del Río Guineal.",2008.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; Daniel Santamaría ; Nestor Veas Ayala ; Carlos Godínez ; William Gamboa ; Angel Solis ; Marcos Moraga ; Eduardo Boza
18279,PRESERVED_SPECIMEN,Rudgea laevis,4134375,GBIF,,Manuel Vargas,,9.106367,-83.087468,"Buenos Aires, Potrero Grande, La Lucha. PILA. Cabeceras del Río Guineal.",2008.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; Daniel Santamaría ; Nestor Veas Ayala ; Carlos Godínez ; William Gamboa ; Angel Solis ; Marcos Moraga ; Eduardo Boza
18280,PRESERVED_SPECIMEN,Rudgea laevis,4134372,GBIF,,Manuel Vargas,,9.106367,-83.087468,"Buenos Aires, Potrero Grande, La Lucha. PILA. Cabeceras del Río Guineal.",2008.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; Daniel Santamaría ; Nestor Veas Ayala ; Carlos Godínez ; William Gamboa ; Angel Solis ; Marcos Moraga ; Eduardo Boza
21470,PRESERVED_SPECIMEN,Rudgea laevis,2906432,GBIF,,Manuel Vargas,,10.3,-84.800002,Bosque muy humedo montano bajo,1988.0,1,1,1,,WGS84,2020,Erick Bello
22675,PRESERVED_SPECIMEN,Rudgea laevis,1605190,GBIF,,Manuel Vargas,,9.275,-83.244445,Reserva Biologica Durika.,1995.0,1,1,1,,WGS84,2020,Quirico Jiménez
22869,PRESERVED_SPECIMEN,Rudgea laevis,1599249,GBIF,,Manuel Vargas,,10.316111,-84.711667,Finca Ston s. Bosque primario y secundario.,1990.0,1,1,1,,WGS84,2020,Norman Obando
22873,PRESERVED_SPECIMEN,Rudgea laevis,1599217,GBIF,,Manuel Vargas,,9.297222,-83.258333,"Ujarras. Margen izquierda de Quebrada Dorora, camino a Rio Lori.",1993.0,1,1,1,,WGS84,2020,Gerardo Herrera
23480,PRESERVED_SPECIMEN,Rudgea laevis,1565249,GBIF,,Manuel Vargas,,10.3,-84.8,"Bajos de La Lindora, Rio Guacimal. Monteverde.",1988.0,1,1,1,,WGS84,2020,William Haber
24815,PRESERVED_SPECIMEN,Rudgea laevis,,GBIF,10702,Manuel Vargas,,10.0,-84.8333,,1977.0,1,1,1,,WGS84,2020,W. C. Burger
24987,PRESERVED_SPECIMEN,Rudgea laevis,,GBIF,1070,Manuel Vargas,,10.0,-84.8333,,1984.0,1,1,1,,WGS84,2020,W. A. Haber
27118,PRESERVED_SPECIMEN,Rudgea laevis,214471,GBIF,,Manuel Vargas,,9.27,-83.24,R. I. Ujarrás Cordillera de Talamanca.Reserva Biológica Dúrika.,1995.0,1,1,1,,WGS84,2020,"Jiménez, Quírico"
27119,PRESERVED_SPECIMEN,Rudgea laevis,210324,GBIF,,Manuel Vargas,,9.29,-83.25,"R. I. Ujarrás Cordillera de Talamanca. Ujarrás. Margen izquierda de Quebrada Dorora, camino a Río Lori.",1993.0,1,1,1,,WGS84,2020,"Herrera, Gerardo"
27161,PRESERVED_SPECIMEN,Rudgea laevis,163093,GBIF,,Manuel Vargas,,10.3,-84.8,Pastures and remnant monane evergreen forest (lower montane wet and lower montane rain forest zones) just east of Monteverde on the Pacific watershed.,1977.0,1,1,1,,WGS84,2020,"Burger, William"
27176,PRESERVED_SPECIMEN,Rudgea laevis,134946,GBIF,,Manuel Vargas,,10.3,-84.8,"R. B. Monteverde Comunidad, bosque muy hùmedo montano bajo.",1988.0,1,1,1,,WGS84,2020,"Bello, Erick"
