,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2880,PRESERVED_SPECIMEN,Schoenobiblus panamensis,100955022,GBIF,López-Figueiras 8077,Manuel Vargas,,4.1,-76.216667,"Cordillera Central: Canadas del Rio Agua-Clara, Canta Claro, cercanias de Palmira.",1962.0,1,1,1,,WGS84,2020,Manuel López-Figueiras
2894,PRESERVED_SPECIMEN,Schoenobiblus panamensis,100951049,GBIF,Correa A. 7802,Manuel Vargas,,8.666667,-79.916667,"Parque Nacional Altos de Campana. Sendero de Intepretacion, 1 km al este del Campamento de los guardabosques de INRENARE. Bosque humedo tropical premontano. Final de la P2-9. Fuera de parcela.",1991.0,1,1,1,,WGS84,2020,Mireya D. Correa A.|E. Montenegro
2901,PRESERVED_SPECIMEN,Schoenobiblus panamensis,100935545,GBIF,Morales 5509,Manuel Vargas,,1.3305559999999998,-78.683611,Mata de platano.,2012.0,1,1,1,,WGS84,2020,Carlos Morales|Juan Guevara|Byron Medina|Janeth Santiana|Gicela Arias|C. Tapia|Fabio Ortega
2919,PRESERVED_SPECIMEN,Schoenobiblus panamensis,100922749,GBIF,Ibáñez García 8313 AI,Manuel Vargas,,8.792778,-78.460278,"Cerro Chucanti. Sendero al filo (helicoptero). Bosque premontano. E779395, N972890.",2012.0,1,1,1,,WGS84,2020,Alicia Ibáñez|et al.
2921,PRESERVED_SPECIMEN,Schoenobiblus panamensis,100922747,GBIF,Flores Jiménez 623 RF,Manuel Vargas,,8.806111,-78.463889,"Cerro Chucanti. Helicoptero, sendero hacia zona del pacifico. Bosque montano bajo. 17 P 0778995, 0974359",2011.0,1,1,1,,WGS84,2020,Rodolfo Flores|Kelvin Morales
3521,HUMAN_OBSERVATION,Schoenobiblus panamensis,,GBIF,,Manuel Vargas,,0.705187,-80.092892,Mata de platano,2012.0,1,1,1,,WGS84,2020,Carlos Morales|Juan Guevara|Byron Medina|Janeth Santiana|Gicela Arias|Carolina Tapia|Fabio Ortega
3522,HUMAN_OBSERVATION,Schoenobiblus panamensis,,GBIF,,Manuel Vargas,,0.716042,-80.06424200000001,Loma Chipa (antena),2012.0,1,1,1,,WGS84,2020,Carlos Morales|Juan Guevara|Byron Medina|Janeth Santiana|Gicela Arias|Carolina Tapia|Fabio Ortega
5639,PRESERVED_SPECIMEN,Schoenobiblus panamensis,76546,GBIF,41894,Manuel Vargas,,1.6561099999999997,-75.90666999999999,"Camino Acevedo-Belén de Los Andaquíes (camino Andaquí), zona cerro Aguacate, zona de cordillera",2011.0,1,1,1,,WGS84,2020,"Cárdenas, D."
6340,PRESERVED_SPECIMEN,Schoenobiblus panamensis,3274141,GBIF,7802,Manuel Vargas,,8.67,-79.92,1 km al este del Campamento de los guardobosques de Inrenare.,1991.0,1,1,1,,WGS84,2020,M. Correa & E. Montenegro
6345,PRESERVED_SPECIMEN,Schoenobiblus panamensis,3349494,GBIF,2620,Manuel Vargas,,4.11,-52.06,"Layon Regina, St. Georges PK42 (near D 25)",1995.0,1,1,1,,WGS84,2020,B. Bordenave
6359,PRESERVED_SPECIMEN,Schoenobiblus panamensis,3655361,GBIF,2150,Manuel Vargas,,9.2983,-83.7722,Tinamaste. Finca de los Suizos.,1999.0,1,1,1,,WGS84,2020,J. Estrada & E. Volio
6360,PRESERVED_SPECIMEN,Schoenobiblus panamensis,3349493,GBIF,2620,Manuel Vargas,,4.11,-52.06,"Layon Regina, St. Georges PK42 (near D 25)",1995.0,1,1,1,,WGS84,2020,B. Bordenave
