,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2655,PRESERVED_SPECIMEN,Symplocos striata,101091990,GBIF,Granzow-de la Cerda 4150,Manuel Vargas,,11.9,-83.916667,"Bluefields, Río Kukra, margen sur, Finca La Bodega, bosque primario, UTM: 17P JP 7613",2001.0,1,1,1,,WGS84,2020,Í. Granzow|R. Garth|J.P. Vandermeer
3716,PRESERVED_SPECIMEN,Symplocos striata,598296,GBIF,1193,Manuel Vargas,,10.75,-84.866667,Guatuso.  Asentamiento campesino La Garroba,1987.0,1,1,1,,WGS84,2020,"Herrera, Gerardo"
3717,PRESERVED_SPECIMEN,Symplocos striata,598288,GBIF,1159,Manuel Vargas,,10.210833000000001,-84.1125,"Cantón de Barva La Legua, Finca Montreal.  Ridge between headwatersof Río Volcán and Río San Fernando, just above trail to refugio",1992.0,1,1,1,,WGS84,2020,"Boyle, Brad; Boyle, A.; Nelson, H."
3718,PRESERVED_SPECIMEN,Symplocos striata,598295,GBIF,2523,Manuel Vargas,,9.797222,-83.091667,"Cantón de Limón Cerro Muchilla, Fila Matama.  Valle de la Estrella",1989.0,1,1,1,,WGS84,2020,"Herrera, Gerardo; Sanabria, Pastor; Solís, Manuel"
3923,PRESERVED_SPECIMEN,Symplocos striata,1240138,GBIF,1158,Manuel Vargas,,10.7158,-84.1742,Boca Tapada; Finca San Jorge. Ruta al Río San Juan,1996.0,1,1,1,,WGS84,2020,A. Rodríguez González
7323,PRESERVED_SPECIMEN,Symplocos striata,983676,GBIF,Jiménez Madrigal 1739,Manuel Vargas,,10.76,-84.18,"Llanura de San Carlos, Pital Finca Hiloba, 18 km N Boca Tapada",1995.0,1,1,1,,WGS84,2020,Quírico Jiménez|R. Quesada
10003,PRESERVED_SPECIMEN,Symplocos striata,3468702,GBIF,Zamora Villalobos 3923,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station. Placa #8811 creciendo en la arboleda,2006.0,1,1,1,,WGS84,2020,Nelson Zamora
10015,PRESERVED_SPECIMEN,Symplocos striata,3467765,GBIF,Vargas Ramírez 713,Manuel Vargas,,10.431389,-84.00361099999999,"La Selva Biological Station. Arboleda, Placa# 881",2001.0,1,1,1,,WGS84,2020,Orlando Vargas
10017,PRESERVED_SPECIMEN,Symplocos striata,3467616,GBIF,Vargas Ramírez 571,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station. Sendero: SSA 550m.,2000.0,1,1,1,,WGS84,2020,Orlando Vargas
10077,PRESERVED_SPECIMEN,Symplocos striata,3398977,GBIF,Sperry 876,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1979.0,1,1,1,,WGS84,2020,John Sperry
