,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1763,PRESERVED_SPECIMEN,Vochysia megalophylla,U.1769410,GBIF,"Nevers, G de; Pérez, BG  3989 ",Manuel Vargas,,9.316667,-78.916667,Comarca de san Blas: El Llano-Carti Road.,1984.0,1,1,1,,WGS84,2020,Nevers G de; Pérez BG
1951,PRESERVED_SPECIMEN,Vochysia megalophylla,U.1769816,GBIF,"Werff, HH van der; González, A  5298 ",Manuel Vargas,,8.916667,-71.666667,"Edo, tachira, distr Uribante, ± 3 km outside Siberia on road to Pegonero.",1983.0,1,1,1,,WGS84,2020,Werff HH van der; González A
3921,PRESERVED_SPECIMEN,Vochysia megalophylla,1064,GBIF,15276,Manuel Vargas,,6.942517,-73.035785,"Mesa de los Santos, Eastern Cordillera.",1926.0,1,1,1,,WGS84,2020,E. P. Killip
6011,PRESERVED_SPECIMEN,Vochysia megalophylla,UDBC037226,GBIF,12914,Manuel Vargas,,6.107167,-73.226083,Reserva Natural Cachalú. Fundacion Natura,2008.0,1,1,1,,WGS84,2020,"""López, R. | Benavides, K. | Sícua, N. | Cárdenas, L. M. | Sáenz, F. | Avella, A. | Pepe"""
14849,PRESERVED_SPECIMEN,Vochysia megalophylla,134855,GBIF,Zúñiga Villegas 527,Manuel Vargas,,9.73,-84.51,Z. P. Cerros de Turrubares Las Delicias. Sitio Quebrada Pozo Azul.,1991.0,1,1,1,,WGS84,2020,Rodolfo Zúñiga
14853,PRESERVED_SPECIMEN,Vochysia megalophylla,134688,GBIF,Nepokroeff 742,Manuel Vargas,,8.66,-83.58,Reserva Forestal Golfo Dulce Camino nuevo entre Rancho Quemado y Drake. Stream at base of hill.,1991.0,1,1,1,,WGS84,2020,M. Nepokroeff|Barry E. Hammel
21496,PRESERVED_SPECIMEN,Vochysia megalophylla,2930318,GBIF,,Manuel Vargas,,9.483333,-84.016667,Cerro Nara.,1987.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos
21542,PRESERVED_SPECIMEN,Vochysia megalophylla,2926528,GBIF,,Manuel Vargas,,8.666667,-83.580556,Camino nuevo entre Rancho Quemado y Drake. Stream at base of hill.,1991.0,1,1,1,,WGS84,2020,Molly Nepokroeff
21548,PRESERVED_SPECIMEN,Vochysia megalophylla,2925996,GBIF,,Manuel Vargas,,9.697222,-84.38194399999999,Santa Rosa de Puriscal. Bosque primario en las faldas de Fila La Cangreja.,1992.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
21667,PRESERVED_SPECIMEN,Vochysia megalophylla,2919344,GBIF,,Manuel Vargas,,8.675,-83.56944399999999,"Fila antes de llegar a Rancho Quemado, camino entre Rancho y Aguabuena.",1991.0,1,1,1,,WGS84,2020,Barry Hammel
21674,PRESERVED_SPECIMEN,Vochysia megalophylla,2919138,GBIF,,Manuel Vargas,,8.675,-83.56944399999999,Rancho Quemado; en el valle del caserio cerca a la Quebrada Quebradona y en la fila por el camino (desde Rincon) antes de llegar al valle.,1990.0,1,1,1,,WGS84,2020,Barry Hammel
24313,PRESERVED_SPECIMEN,Vochysia megalophylla,,GBIF,5131,Manuel Vargas,,10.0,-84.8333,,1997.0,1,1,1,,WGS84,2020,R. Aguilar
24401,PRESERVED_SPECIMEN,Vochysia megalophylla,,GBIF,8940,Manuel Vargas,,10.0114,-83.9519,,,1,1,1,,WGS84,2020,W. C. Burger
26495,UNKNOWN,Vochysia megalophylla,100079515,GBIF,,Manuel Vargas,,8.68333,-83.2167,"P.N. Piedras Blancas, near the Biological Station La Gamba on the fila (research-plot)",1999.0,1,1,1,,WGS84,2020,"Huber Werner, Weissenhofer Anton"
26496,UNKNOWN,Vochysia megalophylla,100079514,GBIF,,Manuel Vargas,,8.68333,-83.2167,"P.N. Piedras Blancas, near the Biological Station La Gamba on the fila (research-plot)",1999.0,1,1,1,,WGS84,2020,"Huber Werner, Weissenhofer Anton"
26497,UNKNOWN,Vochysia megalophylla,100079513,GBIF,,Manuel Vargas,,8.68333,-83.2167,"Parque Nacional Esquinas, ""Bosque de los Austriacos"", in the research plot La Gamba",1997.0,1,1,1,,WGS84,2020,Huber Werner
26498,UNKNOWN,Vochysia megalophylla,100079512,GBIF,,Manuel Vargas,,8.68333,-83.2167,"""Bosque de Los Austriacos"" Primary Forest-Research Plot, La Gamba",1994.0,1,1,1,,WGS84,2020,"Huber Werner, Weissenhofer Anton"
26499,UNKNOWN,Vochysia megalophylla,100079511,GBIF,,Manuel Vargas,,8.68333,-83.2167,"""Bosque de Los Austriacos"" Primary Forest-Research Plot, La Gamba",1994.0,1,1,1,,WGS84,2020,"Huber Werner, Weissenhofer Anton"
26666,PRESERVED_SPECIMEN,Vochysia megalophylla,222206,GBIF,,Manuel Vargas,,8.67,-83.56,"R. F. Golfo Dulce Rancho Quemado, camino a Estero Guerra. Península de Osa.",1997.0,1,1,1,,WGS84,2020,"Aguilar, Reinaldo"
26668,PRESERVED_SPECIMEN,Vochysia megalophylla,216861,GBIF,,Manuel Vargas,,9.54,-84.02,Estribaciones del Cerro Diamante.,1998.0,1,1,1,,WGS84,2020,"Estrada, Armando"
26669,PRESERVED_SPECIMEN,Vochysia megalophylla,209984,GBIF,,Manuel Vargas,,8.68,-83.21,"Parque Nacional  Esquinas, Seccion ""Bosque de los Austriacos"".",1997.0,1,1,1,,WGS84,2020,"Huber, Werner"
26670,PRESERVED_SPECIMEN,Vochysia megalophylla,201855,GBIF,,Manuel Vargas,,8.56,-83.51,"P. N. Corcovado Península de Osa. Estación Los Patos, Sendero Sirena.",1994.0,1,1,1,,WGS84,2020,"Aguilar, Reinaldo"
26674,PRESERVED_SPECIMEN,Vochysia megalophylla,189188,GBIF,,Manuel Vargas,,8.68,-83.21,PARQUE NACIONAL ESQUINAS-SECCION PIEDRAS BLANCAS. Primary forest-RESEARCH PLOT-La Gamba.,1994.0,1,1,1,,WGS84,2020,"Huber, Werner"
26675,PRESERVED_SPECIMEN,Vochysia megalophylla,186739,GBIF,,Manuel Vargas,,8.68,-83.21,"Seccion ""Bosque de los Austriacos"" Primary forest-RESEARCH PLOT- La Gamba.",1994.0,1,1,1,,WGS84,2020,"Huber, Werner"
26676,PRESERVED_SPECIMEN,Vochysia megalophylla,183413,GBIF,,Manuel Vargas,,9.48,-84.01,Cerro Nara.,1987.0,1,1,1,,WGS84,2020,"Zamora, Nelson"
26678,PRESERVED_SPECIMEN,Vochysia megalophylla,175281,GBIF,,Manuel Vargas,,9.73,-84.51,Las Delicias. Sitio Quebrada Pozo Azul.,1991.0,1,1,1,,WGS84,2020,"Zúñiga, Rodolfo"
26679,PRESERVED_SPECIMEN,Vochysia megalophylla,174836,GBIF,,Manuel Vargas,,9.73,-84.51,Las Delicias. Sitio Quebrada Pozo Azul.,1991.0,1,1,1,,WGS84,2020,"Zúñiga, Rodolfo"
26681,PRESERVED_SPECIMEN,Vochysia megalophylla,167900,GBIF,,Manuel Vargas,,9.75,-84.53,"P.N. Carara Edge or park near Río del Sur, foothills of Montañas de Jamaica.",1993.0,1,1,1,,WGS84,2020,"Gentry, Alwyn H."
26686,PRESERVED_SPECIMEN,Vochysia megalophylla,163609,GBIF,,Manuel Vargas,,9.69,-84.38,P.N. La Cangreja Santa Rosa. Bosque primario en las faldas de Fila La Cangreja.,1992.0,1,1,1,,WGS84,2020,"Morales, Juan Francisco"
26687,PRESERVED_SPECIMEN,Vochysia megalophylla,162509,GBIF,,Manuel Vargas,,9.32,-83.76,Carretera entre San Isidro y Dominical; ca. 15 km SW de San Isidro.,1992.0,1,1,1,,WGS84,2020,"Hammel, Barry E."
26689,PRESERVED_SPECIMEN,Vochysia megalophylla,161432,GBIF,,Manuel Vargas,,8.7,-83.52,R. F. Golfo Dulce Aguabuena.,1991.0,1,1,1,,WGS84,2020,"Aguilar, Reinaldo"
26690,PRESERVED_SPECIMEN,Vochysia megalophylla,156803,GBIF,,Manuel Vargas,,8.7,-83.52,R. F. Golfo Dulce Aguabuena Sector cuenca norte.,1991.0,1,1,1,,WGS84,2020,"Aguilar, Reinaldo"
